nombre|tipo|vida|energia|h0_nombre|h0_desc|h0_danio|h0_coste|h0_efecto|h0_fisico|h1_nombre|h1_desc|h1_danio|h1_coste|h1_efecto|h1_fisico|h2_nombre|h2_desc|h2_danio|h2_coste|h2_efecto|h2_fisico|h3_nombre|h3_desc|h3_danio|h3_coste|h3_efecto|h3_fisico|h4_nombre|h4_desc|h4_danio|h4_coste|h4_efecto|h4_fisico|puede_curarse|herramienta_maldita|sin_energia|especial
Gojo Satoru|HECHICERO|600|450|Azul|Atrae|40|5|NORMAL|false|Rojo|Repele|60|5|NORMAL|false|VACÍO PÚRPURA|Borra materia|80|5|NORMAL|false|Destello Negro|Impacto físico letal|100|5|NORMAL|true|EXPANSIÓN: VACÍO INFINITO|Inmoviliza 2 turnos|120|15|NORMAL|false|true|false|false|false
Sukuna|HECHICERO|700|950|Desmantelar|Cortes|40|20|NORMAL|false|Cleave|Cortes precisos|60|35|NORMAL|false|FUGA|Flecha de fuego mortal|80|50|NORMAL|false|Golpe Físico|Ataque veloz|100|65|NORMAL|true|EXPANSIÓN: SANTUARIO MALÉVOLO|Cortes de daño pasivo en área por 2 turnos|120|120|NORMAL|false|true|false|false|false
Itadori Yuji|HECHICERO|550|250|Puño Divergente|Golpe con retraso|40|20|NORMAL|true|Destello Negro|Ataque crítico espacial|60|35|NORMAL|true|Artes Marciales|Combo físico|80|50|NORMAL|true|Corte de Alma|Daña el alma|100|65|NORMAL|true|Rencor|Frenesí de golpes|120|120|NORMAL|true|false|false|false|false
Maki Zenin|HECHICERO|650|0|Nube Itinerante|Bastón|40|0|NORMAL|true|Katana Almas|Corte de alma directo|60|0|NORMAL|true|Lanza|Estocada|80|0|NORMAL|true|Ataque Pesado|Golpe bruto|100|0|NORMAL|true|Masacre|Frenesí veloz|120|0|NORMAL|true|true|true|true|false
Toji Fushiguro|HECHICERO|650|0|Navaja Invertida|Anula técnicas|40|0|NORMAL|true|Cadena|Ataque largo|60|0|NORMAL|true|Espada Alma|Corte mortal|80|0|NORMAL|true|Pistola|Ataque a distancia|100|0|NORMAL|true|Bendición|Asalto en punto ciego|120|0|NORMAL|true|true|true|true|false
Yuta Okkotsu|HECHICERO|500|1000|Copia: Discurso|Habla maldita|40|20|NORMAL|false|Corte con Katana|Tajo básico|60|35|NORMAL|true|Rika: Ataque Físico|Puñetazo de Rika|80|50|NORMAL|true|RAYO DE AMOR VERDADERO|Haz concentrado de Rika|100|65|NORMAL|false|EXPANSIÓN: AMOR MUTUO Y VERDADERO|Aumenta el daño de Yuta por 2 turnos|120|120|NORMAL|false|true|false|false|false
Kinji Hakari|HECHICERO|500|300|Puñetazo Áspero|Papel de lija|40|20|NORMAL|true|Puerta Tren|Aplastamiento|60|35|NORMAL|false|Combo|Golpes rítmicos|80|50|NORMAL|true|Cabezazo|Impacto cráneo|100|65|NORMAL|true|EXPANSIÓN: IDLE DEATH GAMBLE|Probabilidad de ganar inmortalidad y CE infinita|120|120|NORMAL|false|false|false|false|false
Mahito|MALDICION|450|350|Mutación|Altera su forma|40|20|NORMAL|false|Polimorfismo|Lanza transfigurados|60|35|NORMAL|false|Isomería|Clones|80|50|NORMAL|false|Cuchilla Corporal|Brazo cuchilla|100|65|NORMAL|true|EXPANSIÓN: AUTOENCARNACIÓN DE LA PERFECCIÓN|Potencia sus ataques por 2 turnos|120|120|NORMAL|false|false|false|false|false
Jogo|MALDICION|380|450|Insectos|Explosivos|40|20|NORMAL|false|Vértice|Magma|60|35|NORMAL|false|Meteorito|Roca en llamas|80|50|NORMAL|false|Palmas Ardientes|Fuego directo|100|65|NORMAL|true|EXPANSIÓN: ATAÚD DE LA MONTAÑA DE HIERRO|Potencia sus ataques por 2 turnos|120|120|NORMAL|false|false|false|false|false
Megumi Fushiguro|HECHICERO|420|350|Perros Divinos|Mordida|40|20|NORMAL|true|Nue|Descarga|60|35|NORMAL|false|Elefante Máximo|Aplastamiento|80|50|NORMAL|true|EXPANSIÓN: JARDÍN DE SOMBRAS|Dominio de sombras|100|65|NORMAL|false|MAHORAGA|Invoca al General Divino y abandona el combate|120|120|NORMAL|false|false|false|false|false
Suguru Geto|HECHICERO|500|500|Maldiciones Menores|Horda|40|20|NORMAL|false|Calamar|Asfixia|60|35|NORMAL|false|Dragón|Carga|80|50|NORMAL|false|Artes Marciales|Golpe físico|100|65|NORMAL|true|UZUMAKI|Técnica Máxima concentrada|120|120|NORMAL|false|false|false|false|false
Nanami Kento|HECHICERO|480|250|Ratio 7:3|Punto débil|40|20|NORMAL|true|Derrumbe|Entorno|60|35|NORMAL|false|Golpe Contundente|Golpe bruto|80|50|NORMAL|true|Tajo|Corte limpio|100|65|NORMAL|true|Horas Extras|Liberación de energía|120|120|NORMAL|true|false|true|false|false
Choso|MALDICION|460|320|Sangre Perforante|Rayo de sangre|40|20|NORMAL|false|Supernova|Metralla|60|35|NORMAL|false|Escala Roja|Potencia física|80|50|NORMAL|false|Golpe de Ala|Cuchilla de sangre|100|65|NORMAL|true|Manantial|Inundación|120|120|NORMAL|false|false|false|false|false
Aoi Todo|HECHICERO|520|220|Boogie Woogie|Intercambio posicional|40|20|NORMAL|false|Puñetazo|Golpe seco|60|35|NORMAL|true|Patada|Patada voladora|80|50|NORMAL|true|Aplauso Sorpresa|Desorienta|100|65|NORMAL|false|Destello Negro|Impacto crítico|120|120|NORMAL|true|false|false|false|false
